type	latitude	longitude	
W	51.5324283	-0.1048851	
W	51.5324283	-0.1050138	
W	51.5324817	-0.1053143	
W	51.5324817	-0.1057434	
W	51.5324817	-0.1057434	
W	51.5323749	-0.1060009	
W	51.5321347	-0.1060867	
W	51.5316541	-0.1053143	
W	51.5316274	-0.1047564	
W	51.5314406	-0.1047134	
W	51.5313338	-0.1042414	
W	51.5312537	-0.1040697	
W	51.5311736	-0.1037693	
W	51.5310935	-0.1033831	
W	51.5310401	-0.1031256	
W	51.5308265	-0.1024389	
W	51.5306930	-0.1019239	
W	51.5305329	-0.1012373	
W	51.5304795	-0.1008511	
W	51.5304795	-0.1005507	
W	51.5302659	-0.1000786	
W	51.5301858	-0.0997353	
W	51.5300523	-0.0992203	
W	51.5299455	-0.0989199	
W	51.5299188	-0.0982332	
W	51.5297319	-0.0978899	
W	51.5295984	-0.0975895	
W	51.5295717	-0.0971174	
W	51.5294649	-0.0969458	
W	51.5292781	-0.0962162	
W	51.5293314	-0.0965595	
W	51.5292247	-0.0960875	
W	51.5290912	-0.0958300	
W	51.5290645	-0.0955296	
W	51.5289577	-0.0949717	
W	51.5289577	-0.0951862	
W	51.5289043	-0.0944567	
W	51.5288242	-0.0943708	
W	51.5287441	-0.0938559	
W	51.5286907	-0.0938129	
W	51.5372067	-0.0952721	
W	51.5368063	-0.0952291	
W	51.5365661	-0.0951433	
W	51.5364326	-0.0951004	
W	51.5362992	-0.0948429	
W	51.5361390	-0.0948429	
W	51.5359788	-0.0948429	
W	51.5358187	-0.0947571	
W	51.5356318	-0.0946712	
W	51.5354716	-0.0946283	
W	51.5353115	-0.0945854	
W	51.5351780	-0.0944996	
W	51.5349644	-0.0944996	
W	51.5347509	-0.0944567	
W	51.5346174	-0.0943708	
W	51.5344305	-0.0942850	
W	51.5339500	-0.0942850	
W	51.5339233	-0.0941563	
W	51.5336030	-0.0939846	
W	51.5333627	-0.0937700	
W	51.5332025	-0.0936842	
W	51.5330424	-0.0936413	
W	51.5329356	-0.0934696	
W	51.5327487	-0.0932980	
W	51.5325618	-0.0932121	
W	51.5323749	-0.0930834	
W	51.5321347	-0.0930405	
W	51.5318677	-0.0928259	
W	51.5316007	-0.0928688	
W	51.5314940	-0.0927401	
W	51.5312003	-0.0927401	
W	51.5309066	-0.0926542	
W	51.5306396	-0.0924397	
W	51.5305062	-0.0923538	
W	51.5302392	-0.0923538	
W	51.5300523	-0.0923538	
W	51.5297052	-0.0922680	
W	51.5295183	-0.0920963	
W	51.5293314	-0.0920105	
W	51.5290912	-0.0920105	
W	51.5289577	-0.0919247	
W	51.5288776	-0.0919676	
W	51.5368063	-0.1004648	
W	51.5369665	-0.0999928	
W	51.5370199	-0.0997353	
W	51.5371801	-0.0990915	
W	51.5373669	-0.0994349	
W	51.5373669	-0.0987482	
W	51.5371534	-0.0993061	
W	51.5373669	-0.0983191	
W	51.5373669	-0.0980186	
W	51.5374203	-0.0977182	
W	51.5374737	-0.0973320	
W	51.5375538	-0.0969887	
W	51.5375805	-0.0965166	
W	51.5375805	-0.0961733	
W	51.5376872	-0.0958300	
W	51.5377940	-0.0952291	
W	51.5377940	-0.0954866	
W	51.5378207	-0.0948000	
W	51.5379542	-0.0940275	
W	51.5379542	-0.0942850	
W	51.5380075	-0.0935984	
W	51.5381143	-0.0931263	
W	51.5381410	-0.0927401	
W	51.5383012	-0.0923967	
W	51.5383279	-0.0917530	
W	51.5383813	-0.0914097	
W	51.5384346	-0.0908518	
W	51.5385147	-0.0903797	
W	51.5386215	-0.0899076	
W	51.5386482	-0.0893927	
W	51.5384079	-0.0920963	
W	51.5397159	-0.0809383	
W	51.5302392	-0.0802088	
W	51.5356852	-0.0865602	
W	51.5360589	-0.0735998	
W	51.5397693	-0.0812817	
W	51.5396358	-0.0817537	
W	51.5394756	-0.0820971	
W	51.5393422	-0.0821829	
W	51.5392888	-0.0823116	
W	51.5391820	-0.0824833	
W	51.5388083	-0.0830412	
W	51.5387550	-0.0832987	
